Domain,Area,Element,Item,Year,Value
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","3295.1816"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","3295.1816"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","3295.1816"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","4045.56949"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","4469.701775"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","4991.710741"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","6035.728674"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","6100.979795"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","6166.230916"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","5970.477553"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","4698.080698"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","5807.349751"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","6035.728674"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","6100.979795"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","6133.605355"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","5742.09863"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","3393.058282"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","4959.085181"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","4730.706258"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","4893.83406"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","4861.2085"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","4665.455137"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","4567.578456"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","4371.825094"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","4176.071731"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","4241.322852"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","3621.437204"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","3686.688325"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","3719.313886"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","3712.136262"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","3893.150217"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","3784.565006"
"Value of Agricultural Production","Afghanistan","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","3886.065771"
